recipe_name,recipe_url,difficulty,meal_time,nutrition_category,estimated_calories,preparation_time_minutes,ingredient_count,estimated_price_vnd,recipe_text
Miến trộn bò bằm,https://monngonmoingay.com/mien-tron-bo-bam/,Dễ,breakfast,balanced,382,15,5,40470,"Món Miến trộn bò bằm là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 382 calo, thời gian chế biến 15 phút, giá ước tính 40470 VND"
Nem chua rán,https://monngonmoingay.com/nem-chua-ran/,Trung bình,snack,balanced,180,15,3,25000,"Món Nem chua rán là món snack có độ khó Trung bình, thuộc loại balanced, khoảng 180 calo, thời gian chế biến 15 phút, giá ước tính 25000 VND"
"Bánh xèo Việt Nam ăn nhiều rồi, làm bánh xèo Nhật Bản ăn thử đi cả nhà!",https://monngonmoingay.com/banh-xeo-viet-nam/,Dễ,breakfast,balanced,455,38,10,60000,"Món Bánh xèo Việt Nam ăn nhiều rồi, làm bánh xèo Nhật Bản ăn thử đi cả nhà! là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 455 calo, thời gian chế biến 38 phút, giá ước tính 60000 VND"
Bánh khoái,https://monngonmoingay.com/banh-kho/,Dễ,breakfast,balanced,391,22,5,50000,"Món Bánh khoái là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 391 calo, thời gian chế biến 22 phút, giá ước tính 50000 VND"
Nghêu xào mayonnaise hung quế,https://monngonmoingay.com/ngheu-xao-mayonnaise-hung-que/,Dễ,dinner,balanced,488,24,6,46946,"Món Nghêu xào mayonnaise hung quế là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 488 calo, thời gian chế biến 24 phút, giá ước tính 46946 VND"
Gà nướng nồi đất,https://monngonmoingay.com/ga-nuong-noi-dat-2/,Dễ,dinner,weight-loss,541,30,4,50000,"Món Gà nướng nồi đất là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 541 calo, thời gian chế biến 30 phút, giá ước tính 50000 VND"
Bắp hạt xào gà giòn Mayonnaise,https://monngonmoingay.com/bap-hat-xao-ga-gion-mayonnaise/,Dễ,lunch,brain-boost,626,26,4,49908,"Món Bắp hạt xào gà giòn Mayonnaise là món lunch có độ khó Dễ, thuộc loại brain-boost, khoảng 626 calo, thời gian chế biến 26 phút, giá ước tính 49908 VND"
Bánh mì thịt bò xốt tương (L3),https://monngonmoingay.com/banh-mi-thit/,Dễ,lunch,blood-boost,687,20,5,50000,"Món Bánh mì thịt bò xốt tương (L3) là món lunch có độ khó Dễ, thuộc loại blood-boost, khoảng 687 calo, thời gian chế biến 20 phút, giá ước tính 50000 VND"
"Canh khổ qua – Gian khổ đi qua, cả nhà may mắn",https://monngonmoingay.com/canh-kho/,Dễ,lunch,weight-loss,321,36,7,55907,"Món Canh khổ qua – Gian khổ đi qua, cả nhà may mắn là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 321 calo, thời gian chế biến 36 phút, giá ước tính 55907 VND"
Bò xào cà ri tam sắc (L1),https://monngonmoingay.com/bo-xao/,Dễ,dinner,balanced,539,16,3,37376,"Món Bò xào cà ri tam sắc (L1) là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 539 calo, thời gian chế biến 16 phút, giá ước tính 37376 VND"
Món ngon từ cá,https://monngonmoingay.com/mon-ngon-tu-ca/,Dễ,lunch,weight-loss,504,28,5,39210,"Món Món ngon từ cá là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 504 calo, thời gian chế biến 28 phút, giá ước tính 39210 VND"
Tôm xào bông cải,https://monngonmoingay.com/tom-xao/,Dễ,lunch,balanced,492,19,3,41534,"Món Tôm xào bông cải là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 492 calo, thời gian chế biến 19 phút, giá ước tính 41534 VND"
Tôm nướng bánh hỏi,https://monngonmoingay.com/tom-nuong/,Dễ,breakfast,weight-loss,430,23,5,47945,"Món Tôm nướng bánh hỏi là món breakfast có độ khó Dễ, thuộc loại weight-loss, khoảng 430 calo, thời gian chế biến 23 phút, giá ước tính 47945 VND"
Gà kho chao Mayonnaise,https://monngonmoingay.com/ga-kho/,Dễ,dinner,balanced,525,29,4,50000,"Món Gà kho chao Mayonnaise là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 525 calo, thời gian chế biến 29 phút, giá ước tính 50000 VND"
Chè bưởi,https://monngonmoingay.com/che-buoi/,Dễ,dessert,weight-loss,150,20,4,16000,"Món Chè bưởi là món dessert có độ khó Dễ, thuộc loại weight-loss, khoảng 150 calo, thời gian chế biến 20 phút, giá ước tính 16000 VND"
"Các món ăn kèm, món phụ",https://monngonmoingay.com/cac-mon-an-kem-mon-phu/,Dễ,lunch,weight-loss,461,21,4,35196,"Món Các món ăn kèm, món phụ là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 461 calo, thời gian chế biến 21 phút, giá ước tính 35196 VND"
Bánh chuối nướng,https://monngonmoingay.com/banh-chuoi-nuong/,Dễ,dessert,brain-boost,220,25,5,20000,"Món Bánh chuối nướng là món dessert có độ khó Dễ, thuộc loại brain-boost, khoảng 220 calo, thời gian chế biến 25 phút, giá ước tính 20000 VND"
Cua rang sốt tắc,https://monngonmoingay.com/cua-rang-sot-tac/,Dễ,lunch,balanced,471,19,3,36851,"Món Cua rang sốt tắc là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 471 calo, thời gian chế biến 19 phút, giá ước tính 36851 VND"
Thịt nướng BBQ,https://monngonmoingay.com/thit-nuong/,Dễ,dinner,weight-loss,506,30,5,40020,"Món Thịt nướng BBQ là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 506 calo, thời gian chế biến 30 phút, giá ước tính 40020 VND"
Gà trộn gừng chua ngọt,https://monngonmoingay.com/ga-tron/,Dễ,dinner,digestive-support,558,17,3,39788,"Món Gà trộn gừng chua ngọt là món dinner có độ khó Dễ, thuộc loại digestive-support, khoảng 558 calo, thời gian chế biến 17 phút, giá ước tính 39788 VND"
Món ăn cho cha,https://monngonmoingay.com/mon-an-cho-cha/,Khó,lunch,balanced,614,60,9,101139,"Món Món ăn cho cha là món lunch có độ khó Khó, thuộc loại balanced, khoảng 614 calo, thời gian chế biến 60 phút, giá ước tính 101139 VND"
Tôm trộn bông cải,https://monngonmoingay.com/tom-tron/,Dễ,lunch,balanced,472,25,6,50000,"Món Tôm trộn bông cải là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 472 calo, thời gian chế biến 25 phút, giá ước tính 50000 VND"
Gà rim ngũ vị,https://monngonmoingay.com/ga-rim/,Dễ,dinner,balanced,515,30,4,48224,"Món Gà rim ngũ vị là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 515 calo, thời gian chế biến 30 phút, giá ước tính 48224 VND"
Sữa chua dâu tây,https://monngonmoingay.com/sua-chua-dau-tay/,Dễ,dessert,weight-loss,120,15,3,18000,"Món Sữa chua dâu tây là món dessert có độ khó Dễ, thuộc loại weight-loss, khoảng 120 calo, thời gian chế biến 15 phút, giá ước tính 18000 VND"
Heo kho tàu,https://monngonmoingay.com/heo-kho/,Dễ,breakfast,balanced,510,16,4,50000,"Món Heo kho tàu là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 510 calo, thời gian chế biến 16 phút, giá ước tính 50000 VND"
Tôm rim thịt ba chỉ,https://monngonmoingay.com/tom-rim/,Dễ,lunch,blood-boost,614,24,6,40154,"Món Tôm rim thịt ba chỉ là món lunch có độ khó Dễ, thuộc loại blood-boost, khoảng 614 calo, thời gian chế biến 24 phút, giá ước tính 40154 VND"
Món Xào,https://monngonmoingay.com/mon-xao/,Trung bình,breakfast,balanced,456,45,5,71445,"Món Món Xào là món breakfast có độ khó Trung bình, thuộc loại balanced, khoảng 456 calo, thời gian chế biến 45 phút, giá ước tính 71445 VND"
Bún bò Huế Chay,https://monngonmoingay.com/bun-bo-hue/,Dễ,breakfast,balanced,374,15,6,44492,"Món Bún bò Huế Chay là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 374 calo, thời gian chế biến 15 phút, giá ước tính 44492 VND"
Bò chiên một nắng,https://monngonmoingay.com/bo-chien/,Dễ,lunch,balanced,631,29,3,39824,"Món Bò chiên một nắng là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 631 calo, thời gian chế biến 29 phút, giá ước tính 39824 VND"
Bánh xèo Nhật Bản,https://monngonmoingay.com/banh-xeo-nhat-ban-2/,Dễ,breakfast,balanced,429,29,6,50000,"Món Bánh xèo Nhật Bản là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 429 calo, thời gian chế biến 29 phút, giá ước tính 50000 VND"
Tôm chiên cánh bướm,https://monngonmoingay.com/tom-chien/,Dễ,lunch,weight-loss,445,17,3,34823,"Món Tôm chiên cánh bướm là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 445 calo, thời gian chế biến 17 phút, giá ước tính 34823 VND"
Xôi gà đậu xanh,https://monngonmoingay.com/xoi-ga-dau-xanh/,Dễ,breakfast,blood-boost,433,21,6,50000,"Món Xôi gà đậu xanh là món breakfast có độ khó Dễ, thuộc loại blood-boost, khoảng 433 calo, thời gian chế biến 21 phút, giá ước tính 50000 VND"
Chương trìnhmón ngon mỗi ngày,https://monngonmoingay.com/lich-phat-song/,Khó,lunch,balanced,830,68,9,120000,"Món Chương trìnhmón ngon mỗi ngày là món lunch có độ khó Khó, thuộc loại balanced, khoảng 830 calo, thời gian chế biến 68 phút, giá ước tính 120000 VND"
Bánh mì que,https://monngonmoingay.com/banh-mi-que/,Dễ,snack,balanced,140,20,4,8000,"Món Bánh mì que là món snack có độ khó Dễ, thuộc loại balanced, khoảng 140 calo, thời gian chế biến 20 phút, giá ước tính 8000 VND"
Cá xào cần tỏi,https://monngonmoingay.com/ca-xao/,Dễ,lunch,weight-loss,464,17,3,43337,"Món Cá xào cần tỏi là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 464 calo, thời gian chế biến 17 phút, giá ước tính 43337 VND"
Bánh cuốn chay,https://monngonmoingay.com/banh-cuon/,Dễ,breakfast,balanced,288,16,6,50000,"Món Bánh cuốn chay là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 288 calo, thời gian chế biến 16 phút, giá ước tính 50000 VND"
Gà luộc xôi gấc,https://monngonmoingay.com/ga-luoc/,Dễ,dinner,weight-loss,547,17,4,34560,"Món Gà luộc xôi gấc là món dinner có độ khó Dễ, thuộc loại weight-loss, khoảng 547 calo, thời gian chế biến 17 phút, giá ước tính 34560 VND"
Canh chua cá lóc,https://monngonmoingay.com/canh-chua-ca-loc/,Dễ,lunch,weight-loss,335,26,3,30419,"Món Canh chua cá lóc là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 335 calo, thời gian chế biến 26 phút, giá ước tính 30419 VND"
Bánh flan caramel,https://monngonmoingay.com/banh-flan-caramel/,Trung bình,dessert,balanced,280,45,6,25000,"Món Bánh flan caramel là món dessert có độ khó Trung bình, thuộc loại balanced, khoảng 280 calo, thời gian chế biến 45 phút, giá ước tính 25000 VND"
Bánh trôi nước,https://monngonmoingay.com/banh-troi-nuoc/,Trung bình,dessert,balanced,200,40,7,22000,"Món Bánh trôi nước là món dessert có độ khó Trung bình, thuộc loại balanced, khoảng 200 calo, thời gian chế biến 40 phút, giá ước tính 22000 VND"
Cơm chiên cá mặn,https://monngonmoingay.com/com-chien-ca-man/,Dễ,breakfast,weight-loss,352,25,4,50000,"Món Cơm chiên cá mặn là món breakfast có độ khó Dễ, thuộc loại weight-loss, khoảng 352 calo, thời gian chế biến 25 phút, giá ước tính 50000 VND"
Bánh khọt lá cẩm nhân nấm hạt sen,https://monngonmoingay.com/banh-khot-la-cam-nhan-nam-hat-sen/,Dễ,breakfast,brain-boost,373,15,8,50000,"Món Bánh khọt lá cẩm nhân nấm hạt sen là món breakfast có độ khó Dễ, thuộc loại brain-boost, khoảng 373 calo, thời gian chế biến 15 phút, giá ước tính 50000 VND"
Bún riêu cua,https://monngonmoingay.com/bun-rieu-cua/,Dễ,breakfast,balanced,293,24,4,37280,"Món Bún riêu cua là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 293 calo, thời gian chế biến 24 phút, giá ước tính 37280 VND"
Bánh chiên hải sản,https://monngonmoingay.com/banh-chien/,Dễ,breakfast,balanced,434,30,6,39056,"Món Bánh chiên hải sản là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 434 calo, thời gian chế biến 30 phút, giá ước tính 39056 VND"
Bánh khọt,https://monngonmoingay.com/banh-khot/,Trung bình,snack,balanced,220,35,8,35000,"Món Bánh khọt là món snack có độ khó Trung bình, thuộc loại balanced, khoảng 220 calo, thời gian chế biến 35 phút, giá ước tính 35000 VND"
Salad rau củ,https://monngonmoingay.com/salad-rau-cu/,Dễ,lunch,weight-loss,80,10,6,15000,"Món Salad rau củ là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 80 calo, thời gian chế biến 10 phút, giá ước tính 15000 VND"
Bắp Bò Nhúng Mắm Ruốc,https://monngonmoingay.com/bap-bo-nhung-mam-ruoc-2/,Dễ,dinner,balanced,565,15,5,41355,"Món Bắp Bò Nhúng Mắm Ruốc là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 565 calo, thời gian chế biến 15 phút, giá ước tính 41355 VND"
Mực trộn khổ qua chua ngọt,https://monngonmoingay.com/muc-tron/,Dễ,breakfast,balanced,407,21,6,50000,"Món Mực trộn khổ qua chua ngọt là món breakfast có độ khó Dễ, thuộc loại balanced, khoảng 407 calo, thời gian chế biến 21 phút, giá ước tính 50000 VND"
Bánh da lợn,https://monngonmoingay.com/banh-da-lon/,Khó,dessert,balanced,250,60,8,30000,"Món Bánh da lợn là món dessert có độ khó Khó, thuộc loại balanced, khoảng 250 calo, thời gian chế biến 60 phút, giá ước tính 30000 VND"
Bánh nướng Halloween,https://monngonmoingay.com/banh-nuong/,Dễ,breakfast,weight-loss,455,21,3,41333,"Món Bánh nướng Halloween là món breakfast có độ khó Dễ, thuộc loại weight-loss, khoảng 455 calo, thời gian chế biến 21 phút, giá ước tính 41333 VND"
Cá chiên bông điên điển,https://monngonmoingay.com/ca-chien/,Dễ,lunch,weight-loss,452,18,5,50000,"Món Cá chiên bông điên điển là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 452 calo, thời gian chế biến 18 phút, giá ước tính 50000 VND"
Cơm tấm sườn cây,https://monngonmoingay.com/com-tam-suon/,Dễ,lunch,balanced,521,18,3,43718,"Món Cơm tấm sườn cây là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 521 calo, thời gian chế biến 18 phút, giá ước tính 43718 VND"
Gà chiên bắp phô mai,https://monngonmoingay.com/ga-chien/,Dễ,dinner,balanced,571,28,5,43065,"Món Gà chiên bắp phô mai là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 571 calo, thời gian chế biến 28 phút, giá ước tính 43065 VND"
Gỏi cuốn Mayonnaise,https://monngonmoingay.com/goi-cuon-mayonnaise/,Dễ,breakfast,weight-loss,313,20,3,34058,"Món Gỏi cuốn Mayonnaise là món breakfast có độ khó Dễ, thuộc loại weight-loss, khoảng 313 calo, thời gian chế biến 20 phút, giá ước tính 34058 VND"
Cá hấp củ sen,https://monngonmoingay.com/ca-hap/,Dễ,lunch,weight-loss,480,25,3,29150,"Món Cá hấp củ sen là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 480 calo, thời gian chế biến 25 phút, giá ước tính 29150 VND"
Miến gà trộn,https://monngonmoingay.com/mien-ga-tron/,Dễ,dinner,balanced,520,29,3,30617,"Món Miến gà trộn là món dinner có độ khó Dễ, thuộc loại balanced, khoảng 520 calo, thời gian chế biến 29 phút, giá ước tính 30617 VND"
Cá rim giấm mè,https://monngonmoingay.com/ca-rim/,Dễ,lunch,weight-loss,455,15,4,48184,"Món Cá rim giấm mè là món lunch có độ khó Dễ, thuộc loại weight-loss, khoảng 455 calo, thời gian chế biến 15 phút, giá ước tính 48184 VND"
Mực kho củ cải,https://monngonmoingay.com/muc-kho/,Dễ,lunch,balanced,452,25,3,31763,"Món Mực kho củ cải là món lunch có độ khó Dễ, thuộc loại balanced, khoảng 452 calo, thời gian chế biến 25 phút, giá ước tính 31763 VND"
Kem chuối,https://monngonmoingay.com/kem-chuoi/,Dễ,dessert,brain-boost,160,10,3,12000,"Món Kem chuối là món dessert có độ khó Dễ, thuộc loại brain-boost, khoảng 160 calo, thời gian chế biến 10 phút, giá ước tính 12000 VND"
Cá hồi nướng bơ tỏi,https://monngonmoingay.com/ca-hoi-nuong/,Dễ,breakfast,brain-boost,410,53,3,31980,"Món Cá hồi nướng bơ tỏi là món breakfast có độ khó Dễ, thuộc loại brain-boost, khoảng 410 calo, thời gian chế biến 53 phút, giá ước tính 31980 VND"
Tôm rang me,https://monngonmoingay.com/tom-rang-me/,Trung bình,breakfast,balanced,526,57,6,86614,"Món Tôm rang me là món breakfast có độ khó Trung bình, thuộc loại balanced, khoảng 526 calo, thời gian chế biến 57 phút, giá ước tính 86614 VND"
Thịt bò xào súp lơ,https://monngonmoingay.com/thit-bo-xao-sup-lo/,Khó,breakfast,balanced,771,84,6,45710,"Món Thịt bò xào súp lơ là món breakfast có độ khó Khó, thuộc loại balanced, khoảng 771 calo, thời gian chế biến 84 phút, giá ước tính 45710 VND"
Smoothie xanh detox,https://monngonmoingay.com/smoothie-xanh/,Khó,dinner,weight-loss,689,46,8,44004,"Món Smoothie xanh detox là món dinner có độ khó Khó, thuộc loại weight-loss, khoảng 689 calo, thời gian chế biến 46 phút, giá ước tính 44004 VND"
Gà nướng mật ong,https://monngonmoingay.com/ga-nuong-mat-ong/,Khó,dinner,balanced,617,82,7,70725,"Món Gà nướng mật ong là món dinner có độ khó Khó, thuộc loại balanced, khoảng 617 calo, thời gian chế biến 82 phút, giá ước tính 70725 VND"
Cháo yến mạch hạt chia,https://monngonmoingay.com/chao-yen-mach/,Khó,lunch,digestive-support,279,72,4,83376,"Món Cháo yến mạch hạt chia là món lunch có độ khó Khó, thuộc loại digestive-support, khoảng 279 calo, thời gian chế biến 72 phút, giá ước tính 83376 VND"
Canh rau dền nấu tôm,https://monngonmoingay.com/canh-rau-den/,Trung bình,dinner,blood-boost,348,47,5,80661,"Món Canh rau dền nấu tôm là món dinner có độ khó Trung bình, thuộc loại blood-boost, khoảng 348 calo, thời gian chế biến 47 phút, giá ước tính 80661 VND"
Canh chua cá bông lau,https://monngonmoingay.com/canh-chua-ca/,Dễ,lunch,digestive-support,599,55,6,51987,"Món Canh chua cá bông lau là món lunch có độ khó Dễ, thuộc loại digestive-support, khoảng 599 calo, thời gian chế biến 55 phút, giá ước tính 51987 VND"
Bánh mì sandwich healthy,https://monngonmoingay.com/banh-mi-healthy/,Dễ,breakfast,weight-loss,355,39,11,64180,"Món Bánh mì sandwich healthy là món breakfast có độ khó Dễ, thuộc loại weight-loss, khoảng 355 calo, thời gian chế biến 39 phút, giá ước tính 64180 VND"
Salad rau củ quả,https://monngonmoingay.com/salad-rau-cu-qua/,Khó,dinner,weight-loss,365,26,8,77680,"Món Salad rau củ quả là món dinner có độ khó Khó, thuộc loại weight-loss, khoảng 365 calo, thời gian chế biến 26 phút, giá ước tính 77680 VND"
