recipe_name,nutrition_category,estimated_calories,difficulty,meal_time,ingredient_count,nutrition_text
Cá diêu hồng xiên que chiên lá chanh,weight-loss,391,Dễ,dinner,6,"Thông tin dinh dưỡng món Cá diêu hồng xiên que chiên lá chanh: loại weight-loss, 391 calo, phù hợp cho dinner, độ phức tạp Dễ, với 6 nguyên liệu"
Bánh canh cua,weight-loss,196,Dễ,breakfast,5,"Thông tin dinh dưỡng món Bánh canh cua: loại weight-loss, 196 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 5 nguyên liệu"
Thịt kho,blood-boost,559,Dễ,dinner,3,"Thông tin dinh dưỡng món Thịt kho: loại blood-boost, 559 calo, phù hợp cho dinner, độ phức tạp Dễ, với 3 nguyên liệu"
Há cảo tam sắc,balanced,351,Dễ,breakfast,5,"Thông tin dinh dưỡng món Há cảo tam sắc: loại balanced, 351 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 5 nguyên liệu"
Cơm tấm sườn nướng,balanced,650,Trung bình,dinner,12,"Thông tin dinh dưỡng món Cơm tấm sườn nướng: loại balanced, 650 calo, phù hợp cho dinner, độ phức tạp Trung bình, với 12 nguyên liệu"
Bò cuộn ba rọi xông khói,balanced,544,Dễ,breakfast,5,"Thông tin dinh dưỡng món Bò cuộn ba rọi xông khói: loại balanced, 544 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 5 nguyên liệu"
Chả cá Lã Vọng,brain-boost,420,Khó,lunch,10,"Thông tin dinh dưỡng món Chả cá Lã Vọng: loại brain-boost, 420 calo, phù hợp cho lunch, độ phức tạp Khó, với 10 nguyên liệu"
Mực xào chua cay,balanced,477,Dễ,lunch,4,"Thông tin dinh dưỡng món Mực xào chua cay: loại balanced, 477 calo, phù hợp cho lunch, độ phức tạp Dễ, với 4 nguyên liệu"
Chè đậu xanh,weight-loss,180,Dễ,dessert,4,"Thông tin dinh dưỡng món Chè đậu xanh: loại weight-loss, 180 calo, phù hợp cho dessert, độ phức tạp Dễ, với 4 nguyên liệu"
Cá kho chuối xanh,weight-loss,403,Dễ,dinner,5,"Thông tin dinh dưỡng món Cá kho chuối xanh: loại weight-loss, 403 calo, phù hợp cho dinner, độ phức tạp Dễ, với 5 nguyên liệu"
Bắp hạt chiên giòn,brain-boost,444,Dễ,breakfast,6,"Thông tin dinh dưỡng món Bắp hạt chiên giòn: loại brain-boost, 444 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 6 nguyên liệu"
Miến trộn bò bằm,balanced,382,Dễ,breakfast,5,"Thông tin dinh dưỡng món Miến trộn bò bằm: loại balanced, 382 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 5 nguyên liệu"
Nem chua rán,balanced,180,Trung bình,snack,3,"Thông tin dinh dưỡng món Nem chua rán: loại balanced, 180 calo, phù hợp cho snack, độ phức tạp Trung bình, với 3 nguyên liệu"
"Bánh xèo Việt Nam ăn nhiều rồi, làm bánh xèo Nhật Bản ăn thử đi cả nhà!",balanced,455,Dễ,breakfast,10,"Thông tin dinh dưỡng món Bánh xèo Việt Nam ăn nhiều rồi, làm bánh xèo Nhật Bản ăn thử đi cả nhà!: loại balanced, 455 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 10 nguyên liệu"
Bánh khoái,balanced,391,Dễ,breakfast,5,"Thông tin dinh dưỡng món Bánh khoái: loại balanced, 391 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 5 nguyên liệu"
Nghêu xào mayonnaise hung quế,balanced,488,Dễ,dinner,6,"Thông tin dinh dưỡng món Nghêu xào mayonnaise hung quế: loại balanced, 488 calo, phù hợp cho dinner, độ phức tạp Dễ, với 6 nguyên liệu"
Gà nướng nồi đất,weight-loss,541,Dễ,dinner,4,"Thông tin dinh dưỡng món Gà nướng nồi đất: loại weight-loss, 541 calo, phù hợp cho dinner, độ phức tạp Dễ, với 4 nguyên liệu"
Bắp hạt xào gà giòn Mayonnaise,brain-boost,626,Dễ,lunch,4,"Thông tin dinh dưỡng món Bắp hạt xào gà giòn Mayonnaise: loại brain-boost, 626 calo, phù hợp cho lunch, độ phức tạp Dễ, với 4 nguyên liệu"
Bánh mì thịt bò xốt tương (L3),blood-boost,687,Dễ,lunch,5,"Thông tin dinh dưỡng món Bánh mì thịt bò xốt tương (L3): loại blood-boost, 687 calo, phù hợp cho lunch, độ phức tạp Dễ, với 5 nguyên liệu"
"Canh khổ qua – Gian khổ đi qua, cả nhà may mắn",weight-loss,321,Dễ,lunch,7,"Thông tin dinh dưỡng món Canh khổ qua – Gian khổ đi qua, cả nhà may mắn: loại weight-loss, 321 calo, phù hợp cho lunch, độ phức tạp Dễ, với 7 nguyên liệu"
Bò xào cà ri tam sắc (L1),balanced,539,Dễ,dinner,3,"Thông tin dinh dưỡng món Bò xào cà ri tam sắc (L1): loại balanced, 539 calo, phù hợp cho dinner, độ phức tạp Dễ, với 3 nguyên liệu"
Món ngon từ cá,weight-loss,504,Dễ,lunch,5,"Thông tin dinh dưỡng món Món ngon từ cá: loại weight-loss, 504 calo, phù hợp cho lunch, độ phức tạp Dễ, với 5 nguyên liệu"
Tôm xào bông cải,balanced,492,Dễ,lunch,3,"Thông tin dinh dưỡng món Tôm xào bông cải: loại balanced, 492 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Tôm nướng bánh hỏi,weight-loss,430,Dễ,breakfast,5,"Thông tin dinh dưỡng món Tôm nướng bánh hỏi: loại weight-loss, 430 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 5 nguyên liệu"
Gà kho chao Mayonnaise,balanced,525,Dễ,dinner,4,"Thông tin dinh dưỡng món Gà kho chao Mayonnaise: loại balanced, 525 calo, phù hợp cho dinner, độ phức tạp Dễ, với 4 nguyên liệu"
Chè bưởi,weight-loss,150,Dễ,dessert,4,"Thông tin dinh dưỡng món Chè bưởi: loại weight-loss, 150 calo, phù hợp cho dessert, độ phức tạp Dễ, với 4 nguyên liệu"
"Các món ăn kèm, món phụ",weight-loss,461,Dễ,lunch,4,"Thông tin dinh dưỡng món Các món ăn kèm, món phụ: loại weight-loss, 461 calo, phù hợp cho lunch, độ phức tạp Dễ, với 4 nguyên liệu"
Bánh chuối nướng,brain-boost,220,Dễ,dessert,5,"Thông tin dinh dưỡng món Bánh chuối nướng: loại brain-boost, 220 calo, phù hợp cho dessert, độ phức tạp Dễ, với 5 nguyên liệu"
Cua rang sốt tắc,balanced,471,Dễ,lunch,3,"Thông tin dinh dưỡng món Cua rang sốt tắc: loại balanced, 471 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Thịt nướng BBQ,weight-loss,506,Dễ,dinner,5,"Thông tin dinh dưỡng món Thịt nướng BBQ: loại weight-loss, 506 calo, phù hợp cho dinner, độ phức tạp Dễ, với 5 nguyên liệu"
Gà trộn gừng chua ngọt,digestive-support,558,Dễ,dinner,3,"Thông tin dinh dưỡng món Gà trộn gừng chua ngọt: loại digestive-support, 558 calo, phù hợp cho dinner, độ phức tạp Dễ, với 3 nguyên liệu"
Món ăn cho cha,balanced,614,Khó,lunch,9,"Thông tin dinh dưỡng món Món ăn cho cha: loại balanced, 614 calo, phù hợp cho lunch, độ phức tạp Khó, với 9 nguyên liệu"
Tôm trộn bông cải,balanced,472,Dễ,lunch,6,"Thông tin dinh dưỡng món Tôm trộn bông cải: loại balanced, 472 calo, phù hợp cho lunch, độ phức tạp Dễ, với 6 nguyên liệu"
Gà rim ngũ vị,balanced,515,Dễ,dinner,4,"Thông tin dinh dưỡng món Gà rim ngũ vị: loại balanced, 515 calo, phù hợp cho dinner, độ phức tạp Dễ, với 4 nguyên liệu"
Sữa chua dâu tây,weight-loss,120,Dễ,dessert,3,"Thông tin dinh dưỡng món Sữa chua dâu tây: loại weight-loss, 120 calo, phù hợp cho dessert, độ phức tạp Dễ, với 3 nguyên liệu"
Heo kho tàu,balanced,510,Dễ,breakfast,4,"Thông tin dinh dưỡng món Heo kho tàu: loại balanced, 510 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 4 nguyên liệu"
Tôm rim thịt ba chỉ,blood-boost,614,Dễ,lunch,6,"Thông tin dinh dưỡng món Tôm rim thịt ba chỉ: loại blood-boost, 614 calo, phù hợp cho lunch, độ phức tạp Dễ, với 6 nguyên liệu"
Món Xào,balanced,456,Trung bình,breakfast,5,"Thông tin dinh dưỡng món Món Xào: loại balanced, 456 calo, phù hợp cho breakfast, độ phức tạp Trung bình, với 5 nguyên liệu"
Bún bò Huế Chay,balanced,374,Dễ,breakfast,6,"Thông tin dinh dưỡng món Bún bò Huế Chay: loại balanced, 374 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 6 nguyên liệu"
Bò chiên một nắng,balanced,631,Dễ,lunch,3,"Thông tin dinh dưỡng món Bò chiên một nắng: loại balanced, 631 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Bánh xèo Nhật Bản,balanced,429,Dễ,breakfast,6,"Thông tin dinh dưỡng món Bánh xèo Nhật Bản: loại balanced, 429 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 6 nguyên liệu"
Tôm chiên cánh bướm,weight-loss,445,Dễ,lunch,3,"Thông tin dinh dưỡng món Tôm chiên cánh bướm: loại weight-loss, 445 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Xôi gà đậu xanh,blood-boost,433,Dễ,breakfast,6,"Thông tin dinh dưỡng món Xôi gà đậu xanh: loại blood-boost, 433 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 6 nguyên liệu"
Chương trìnhmón ngon mỗi ngày,balanced,830,Khó,lunch,9,"Thông tin dinh dưỡng món Chương trìnhmón ngon mỗi ngày: loại balanced, 830 calo, phù hợp cho lunch, độ phức tạp Khó, với 9 nguyên liệu"
Bánh mì que,balanced,140,Dễ,snack,4,"Thông tin dinh dưỡng món Bánh mì que: loại balanced, 140 calo, phù hợp cho snack, độ phức tạp Dễ, với 4 nguyên liệu"
Cá xào cần tỏi,weight-loss,464,Dễ,lunch,3,"Thông tin dinh dưỡng món Cá xào cần tỏi: loại weight-loss, 464 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Bánh cuốn chay,balanced,288,Dễ,breakfast,6,"Thông tin dinh dưỡng món Bánh cuốn chay: loại balanced, 288 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 6 nguyên liệu"
Gà luộc xôi gấc,weight-loss,547,Dễ,dinner,4,"Thông tin dinh dưỡng món Gà luộc xôi gấc: loại weight-loss, 547 calo, phù hợp cho dinner, độ phức tạp Dễ, với 4 nguyên liệu"
Canh chua cá lóc,weight-loss,335,Dễ,lunch,3,"Thông tin dinh dưỡng món Canh chua cá lóc: loại weight-loss, 335 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Bánh flan caramel,balanced,280,Trung bình,dessert,6,"Thông tin dinh dưỡng món Bánh flan caramel: loại balanced, 280 calo, phù hợp cho dessert, độ phức tạp Trung bình, với 6 nguyên liệu"
Bánh trôi nước,balanced,200,Trung bình,dessert,7,"Thông tin dinh dưỡng món Bánh trôi nước: loại balanced, 200 calo, phù hợp cho dessert, độ phức tạp Trung bình, với 7 nguyên liệu"
Cơm chiên cá mặn,weight-loss,352,Dễ,breakfast,4,"Thông tin dinh dưỡng món Cơm chiên cá mặn: loại weight-loss, 352 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 4 nguyên liệu"
Bánh khọt lá cẩm nhân nấm hạt sen,brain-boost,373,Dễ,breakfast,8,"Thông tin dinh dưỡng món Bánh khọt lá cẩm nhân nấm hạt sen: loại brain-boost, 373 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 8 nguyên liệu"
Bún riêu cua,balanced,293,Dễ,breakfast,4,"Thông tin dinh dưỡng món Bún riêu cua: loại balanced, 293 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 4 nguyên liệu"
Bánh chiên hải sản,balanced,434,Dễ,breakfast,6,"Thông tin dinh dưỡng món Bánh chiên hải sản: loại balanced, 434 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 6 nguyên liệu"
Bánh khọt,balanced,220,Trung bình,snack,8,"Thông tin dinh dưỡng món Bánh khọt: loại balanced, 220 calo, phù hợp cho snack, độ phức tạp Trung bình, với 8 nguyên liệu"
Salad rau củ,weight-loss,80,Dễ,lunch,6,"Thông tin dinh dưỡng món Salad rau củ: loại weight-loss, 80 calo, phù hợp cho lunch, độ phức tạp Dễ, với 6 nguyên liệu"
Bắp Bò Nhúng Mắm Ruốc,balanced,565,Dễ,dinner,5,"Thông tin dinh dưỡng món Bắp Bò Nhúng Mắm Ruốc: loại balanced, 565 calo, phù hợp cho dinner, độ phức tạp Dễ, với 5 nguyên liệu"
Mực trộn khổ qua chua ngọt,balanced,407,Dễ,breakfast,6,"Thông tin dinh dưỡng món Mực trộn khổ qua chua ngọt: loại balanced, 407 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 6 nguyên liệu"
Bánh da lợn,balanced,250,Khó,dessert,8,"Thông tin dinh dưỡng món Bánh da lợn: loại balanced, 250 calo, phù hợp cho dessert, độ phức tạp Khó, với 8 nguyên liệu"
Bánh nướng Halloween,weight-loss,455,Dễ,breakfast,3,"Thông tin dinh dưỡng món Bánh nướng Halloween: loại weight-loss, 455 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 3 nguyên liệu"
Cá chiên bông điên điển,weight-loss,452,Dễ,lunch,5,"Thông tin dinh dưỡng món Cá chiên bông điên điển: loại weight-loss, 452 calo, phù hợp cho lunch, độ phức tạp Dễ, với 5 nguyên liệu"
Cơm tấm sườn cây,balanced,521,Dễ,lunch,3,"Thông tin dinh dưỡng món Cơm tấm sườn cây: loại balanced, 521 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Gà chiên bắp phô mai,balanced,571,Dễ,dinner,5,"Thông tin dinh dưỡng món Gà chiên bắp phô mai: loại balanced, 571 calo, phù hợp cho dinner, độ phức tạp Dễ, với 5 nguyên liệu"
Gỏi cuốn Mayonnaise,weight-loss,313,Dễ,breakfast,3,"Thông tin dinh dưỡng món Gỏi cuốn Mayonnaise: loại weight-loss, 313 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 3 nguyên liệu"
Cá hấp củ sen,weight-loss,480,Dễ,lunch,3,"Thông tin dinh dưỡng món Cá hấp củ sen: loại weight-loss, 480 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Miến gà trộn,balanced,520,Dễ,dinner,3,"Thông tin dinh dưỡng món Miến gà trộn: loại balanced, 520 calo, phù hợp cho dinner, độ phức tạp Dễ, với 3 nguyên liệu"
Cá rim giấm mè,weight-loss,455,Dễ,lunch,4,"Thông tin dinh dưỡng món Cá rim giấm mè: loại weight-loss, 455 calo, phù hợp cho lunch, độ phức tạp Dễ, với 4 nguyên liệu"
Mực kho củ cải,balanced,452,Dễ,lunch,3,"Thông tin dinh dưỡng món Mực kho củ cải: loại balanced, 452 calo, phù hợp cho lunch, độ phức tạp Dễ, với 3 nguyên liệu"
Kem chuối,brain-boost,160,Dễ,dessert,3,"Thông tin dinh dưỡng món Kem chuối: loại brain-boost, 160 calo, phù hợp cho dessert, độ phức tạp Dễ, với 3 nguyên liệu"
Cá hồi nướng bơ tỏi,brain-boost,410,Dễ,breakfast,3,"Thông tin dinh dưỡng món Cá hồi nướng bơ tỏi: loại brain-boost, 410 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 3 nguyên liệu"
Tôm rang me,balanced,526,Trung bình,breakfast,6,"Thông tin dinh dưỡng món Tôm rang me: loại balanced, 526 calo, phù hợp cho breakfast, độ phức tạp Trung bình, với 6 nguyên liệu"
Thịt bò xào súp lơ,balanced,771,Khó,breakfast,6,"Thông tin dinh dưỡng món Thịt bò xào súp lơ: loại balanced, 771 calo, phù hợp cho breakfast, độ phức tạp Khó, với 6 nguyên liệu"
Smoothie xanh detox,weight-loss,689,Khó,dinner,8,"Thông tin dinh dưỡng món Smoothie xanh detox: loại weight-loss, 689 calo, phù hợp cho dinner, độ phức tạp Khó, với 8 nguyên liệu"
Gà nướng mật ong,balanced,617,Khó,dinner,7,"Thông tin dinh dưỡng món Gà nướng mật ong: loại balanced, 617 calo, phù hợp cho dinner, độ phức tạp Khó, với 7 nguyên liệu"
Cháo yến mạch hạt chia,digestive-support,279,Khó,lunch,4,"Thông tin dinh dưỡng món Cháo yến mạch hạt chia: loại digestive-support, 279 calo, phù hợp cho lunch, độ phức tạp Khó, với 4 nguyên liệu"
Canh rau dền nấu tôm,blood-boost,348,Trung bình,dinner,5,"Thông tin dinh dưỡng món Canh rau dền nấu tôm: loại blood-boost, 348 calo, phù hợp cho dinner, độ phức tạp Trung bình, với 5 nguyên liệu"
Canh chua cá bông lau,digestive-support,599,Dễ,lunch,6,"Thông tin dinh dưỡng món Canh chua cá bông lau: loại digestive-support, 599 calo, phù hợp cho lunch, độ phức tạp Dễ, với 6 nguyên liệu"
Bánh mì sandwich healthy,weight-loss,355,Dễ,breakfast,11,"Thông tin dinh dưỡng món Bánh mì sandwich healthy: loại weight-loss, 355 calo, phù hợp cho breakfast, độ phức tạp Dễ, với 11 nguyên liệu"
Salad rau củ quả,weight-loss,365,Khó,dinner,8,"Thông tin dinh dưỡng món Salad rau củ quả: loại weight-loss, 365 calo, phù hợp cho dinner, độ phức tạp Khó, với 8 nguyên liệu"
