customer_id,age,gender,age_group,region,regional_preferences,demographic_text
CUS00032,18.0,male,18-24,Nha Trang,all_regions,"Nhân khẩu học: 18.0 tuổi, male, nhóm 18-24, khu vực Nha Trang, sở thích: all_regions"
CUS00033,62.0,female,55-64,Hải Phòng,northern,"Nhân khẩu học: 62.0 tuổi, female, nhóm 55-64, khu vực Hải Phòng, sở thích: northern"
CUS00034,27.0,female,25-34,Vũng Tàu,southern,"Nhân khẩu học: 27.0 tuổi, female, nhóm 25-34, khu vực Vũng Tàu, sở thích: southern"
CUS00035,48.0,female,45-54,Buôn Ma Thuột,all_regions,"Nhân khẩu học: 48.0 tuổi, female, nhóm 45-54, khu vực Buôn Ma Thuột, sở thích: all_regions"
CUS00036,30.0,male,25-34,Huế,central,"Nhân khẩu học: 30.0 tuổi, male, nhóm 25-34, khu vực Huế, sở thích: central"
CUS00037,41.0,female,35-44,Hà Nội,northern,"Nhân khẩu học: 41.0 tuổi, female, nhóm 35-44, khu vực Hà Nội, sở thích: northern"
CUS00038,27.0,female,25-34,Buôn Ma Thuột,central,"Nhân khẩu học: 27.0 tuổi, female, nhóm 25-34, khu vực Buôn Ma Thuột, sở thích: central"
CUS00039,51.0,male,45-54,Cần Thơ,southern,"Nhân khẩu học: 51.0 tuổi, male, nhóm 45-54, khu vực Cần Thơ, sở thích: southern"
CUS00040,66.0,female,65+,Đà Nẵng,central,"Nhân khẩu học: 66.0 tuổi, female, nhóm 65+, khu vực Đà Nẵng, sở thích: central"
CUS00041,47.0,female,45-54,Đà Nẵng,central,"Nhân khẩu học: 47.0 tuổi, female, nhóm 45-54, khu vực Đà Nẵng, sở thích: central"
CUS00042,33.0,male,25-34,Đà Lạt,southern,"Nhân khẩu học: 33.0 tuổi, male, nhóm 25-34, khu vực Đà Lạt, sở thích: southern"
CUS00043,23.0,female,18-24,Hà Nội,northern,"Nhân khẩu học: 23.0 tuổi, female, nhóm 18-24, khu vực Hà Nội, sở thích: northern"
CUS00044,21.0,female,18-24,Buôn Ma Thuột,northern,"Nhân khẩu học: 21.0 tuổi, female, nhóm 18-24, khu vực Buôn Ma Thuột, sở thích: northern"
CUS00045,55.0,male,55-64,Buôn Ma Thuột,all_regions,"Nhân khẩu học: 55.0 tuổi, male, nhóm 55-64, khu vực Buôn Ma Thuột, sở thích: all_regions"
CUS00046,66.0,female,65+,Đà Lạt,southern,"Nhân khẩu học: 66.0 tuổi, female, nhóm 65+, khu vực Đà Lạt, sở thích: southern"
CUS00047,38.0,male,35-44,Nha Trang,northern,"Nhân khẩu học: 38.0 tuổi, male, nhóm 35-44, khu vực Nha Trang, sở thích: northern"
CUS00048,36.0,male,35-44,Buôn Ma Thuột,central,"Nhân khẩu học: 36.0 tuổi, male, nhóm 35-44, khu vực Buôn Ma Thuột, sở thích: central"
CUS00049,64.0,male,55-64,Vũng Tàu,southern,"Nhân khẩu học: 64.0 tuổi, male, nhóm 55-64, khu vực Vũng Tàu, sở thích: southern"
CUS00050,41.0,female,35-44,TP.HCM,southern,"Nhân khẩu học: 41.0 tuổi, female, nhóm 35-44, khu vực TP.HCM, sở thích: southern"
CUS00051,31.0,male,25-34,Cần Thơ,southern,"Nhân khẩu học: 31.0 tuổi, male, nhóm 25-34, khu vực Cần Thơ, sở thích: southern"
CUS00052,59.0,male,55-64,Cần Thơ,southern,"Nhân khẩu học: 59.0 tuổi, male, nhóm 55-64, khu vực Cần Thơ, sở thích: southern"
CUS00053,29.0,male,25-34,Đà Nẵng,central,"Nhân khẩu học: 29.0 tuổi, male, nhóm 25-34, khu vực Đà Nẵng, sở thích: central"
CUS00054,58.0,female,55-64,Đà Lạt,southern,"Nhân khẩu học: 58.0 tuổi, female, nhóm 55-64, khu vực Đà Lạt, sở thích: southern"
CUS00055,26.0,male,25-34,TP.HCM,southern,"Nhân khẩu học: 26.0 tuổi, male, nhóm 25-34, khu vực TP.HCM, sở thích: southern"
CUS00056,42.0,male,35-44,Đà Nẵng,central,"Nhân khẩu học: 42.0 tuổi, male, nhóm 35-44, khu vực Đà Nẵng, sở thích: central"
CUS00057,58.0,male,55-64,Hạ Long,northern,"Nhân khẩu học: 58.0 tuổi, male, nhóm 55-64, khu vực Hạ Long, sở thích: northern"
CUS00058,54.0,female,45-54,Hạ Long,northern,"Nhân khẩu học: 54.0 tuổi, female, nhóm 45-54, khu vực Hạ Long, sở thích: northern"
CUS00059,31.0,female,25-34,Buôn Ma Thuột,southern,"Nhân khẩu học: 31.0 tuổi, female, nhóm 25-34, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00060,64.0,male,55-64,Hải Phòng,northern,"Nhân khẩu học: 64.0 tuổi, male, nhóm 55-64, khu vực Hải Phòng, sở thích: northern"
CUS00061,29.0,male,25-34,Đà Lạt,southern,"Nhân khẩu học: 29.0 tuổi, male, nhóm 25-34, khu vực Đà Lạt, sở thích: southern"
CUS00062,71.0,female,65+,Vũng Tàu,southern,"Nhân khẩu học: 71.0 tuổi, female, nhóm 65+, khu vực Vũng Tàu, sở thích: southern"
CUS00063,61.0,male,55-64,TP.HCM,southern,"Nhân khẩu học: 61.0 tuổi, male, nhóm 55-64, khu vực TP.HCM, sở thích: southern"
CUS00064,52.0,female,45-54,Cần Thơ,southern,"Nhân khẩu học: 52.0 tuổi, female, nhóm 45-54, khu vực Cần Thơ, sở thích: southern"
CUS00065,18.0,male,18-24,Đà Nẵng,central,"Nhân khẩu học: 18.0 tuổi, male, nhóm 18-24, khu vực Đà Nẵng, sở thích: central"
CUS00066,34.0,male,25-34,Đà Lạt,southern,"Nhân khẩu học: 34.0 tuổi, male, nhóm 25-34, khu vực Đà Lạt, sở thích: southern"
CUS00067,29.0,female,25-34,Đà Nẵng,central,"Nhân khẩu học: 29.0 tuổi, female, nhóm 25-34, khu vực Đà Nẵng, sở thích: central"
CUS00068,48.0,male,45-54,Đà Nẵng,central,"Nhân khẩu học: 48.0 tuổi, male, nhóm 45-54, khu vực Đà Nẵng, sở thích: central"
CUS00069,42.0,male,35-44,Đà Lạt,southern,"Nhân khẩu học: 42.0 tuổi, male, nhóm 35-44, khu vực Đà Lạt, sở thích: southern"
CUS00070,53.0,female,45-54,Vũng Tàu,southern,"Nhân khẩu học: 53.0 tuổi, female, nhóm 45-54, khu vực Vũng Tàu, sở thích: southern"
CUS00071,42.0,male,35-44,Hà Nội,northern,"Nhân khẩu học: 42.0 tuổi, male, nhóm 35-44, khu vực Hà Nội, sở thích: northern"
CUS00072,28.0,female,25-34,Buôn Ma Thuột,northern,"Nhân khẩu học: 28.0 tuổi, female, nhóm 25-34, khu vực Buôn Ma Thuột, sở thích: northern"
CUS00073,44.0,male,35-44,Đà Lạt,southern,"Nhân khẩu học: 44.0 tuổi, male, nhóm 35-44, khu vực Đà Lạt, sở thích: southern"
CUS00074,36.0,female,35-44,Huế,central,"Nhân khẩu học: 36.0 tuổi, female, nhóm 35-44, khu vực Huế, sở thích: central"
CUS00075,45.0,male,45-54,Cần Thơ,southern,"Nhân khẩu học: 45.0 tuổi, male, nhóm 45-54, khu vực Cần Thơ, sở thích: southern"
CUS00076,34.0,female,25-34,Vũng Tàu,southern,"Nhân khẩu học: 34.0 tuổi, female, nhóm 25-34, khu vực Vũng Tàu, sở thích: southern"
CUS00077,57.0,male,55-64,Đà Lạt,southern,"Nhân khẩu học: 57.0 tuổi, male, nhóm 55-64, khu vực Đà Lạt, sở thích: southern"
CUS00078,39.0,female,35-44,Nha Trang,all_regions,"Nhân khẩu học: 39.0 tuổi, female, nhóm 35-44, khu vực Nha Trang, sở thích: all_regions"
CUS00079,46.0,male,45-54,Vũng Tàu,southern,"Nhân khẩu học: 46.0 tuổi, male, nhóm 45-54, khu vực Vũng Tàu, sở thích: southern"
CUS00080,60.0,male,55-64,Hải Phòng,northern,"Nhân khẩu học: 60.0 tuổi, male, nhóm 55-64, khu vực Hải Phòng, sở thích: northern"
CUS00081,63.0,male,55-64,Vũng Tàu,southern,"Nhân khẩu học: 63.0 tuổi, male, nhóm 55-64, khu vực Vũng Tàu, sở thích: southern"
CUS00082,30.0,female,25-34,Vũng Tàu,southern,"Nhân khẩu học: 30.0 tuổi, female, nhóm 25-34, khu vực Vũng Tàu, sở thích: southern"
CUS00083,30.0,male,25-34,Hạ Long,northern,"Nhân khẩu học: 30.0 tuổi, male, nhóm 25-34, khu vực Hạ Long, sở thích: northern"
CUS00084,47.0,female,45-54,Vũng Tàu,southern,"Nhân khẩu học: 47.0 tuổi, female, nhóm 45-54, khu vực Vũng Tàu, sở thích: southern"
CUS00085,39.0,female,35-44,TP.HCM,southern,"Nhân khẩu học: 39.0 tuổi, female, nhóm 35-44, khu vực TP.HCM, sở thích: southern"
CUS00086,31.0,female,25-34,Hà Nội,northern,"Nhân khẩu học: 31.0 tuổi, female, nhóm 25-34, khu vực Hà Nội, sở thích: northern"
CUS00087,26.0,male,25-34,Huế,central,"Nhân khẩu học: 26.0 tuổi, male, nhóm 25-34, khu vực Huế, sở thích: central"
CUS00088,67.0,male,65+,Buôn Ma Thuột,southern,"Nhân khẩu học: 67.0 tuổi, male, nhóm 65+, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00089,26.0,female,25-34,Nha Trang,all_regions,"Nhân khẩu học: 26.0 tuổi, female, nhóm 25-34, khu vực Nha Trang, sở thích: all_regions"
CUS00090,68.0,female,65+,Buôn Ma Thuột,all_regions,"Nhân khẩu học: 68.0 tuổi, female, nhóm 65+, khu vực Buôn Ma Thuột, sở thích: all_regions"
CUS00091,69.0,male,65+,Vũng Tàu,southern,"Nhân khẩu học: 69.0 tuổi, male, nhóm 65+, khu vực Vũng Tàu, sở thích: southern"
CUS00092,61.0,male,55-64,TP.HCM,southern,"Nhân khẩu học: 61.0 tuổi, male, nhóm 55-64, khu vực TP.HCM, sở thích: southern"
CUS00093,20.0,male,18-24,Huế,central,"Nhân khẩu học: 20.0 tuổi, male, nhóm 18-24, khu vực Huế, sở thích: central"
CUS00094,65.0,male,65+,Hạ Long,northern,"Nhân khẩu học: 65.0 tuổi, male, nhóm 65+, khu vực Hạ Long, sở thích: northern"
CUS00095,63.0,female,55-64,Đà Nẵng,central,"Nhân khẩu học: 63.0 tuổi, female, nhóm 55-64, khu vực Đà Nẵng, sở thích: central"
CUS00096,49.0,female,45-54,Đà Nẵng,central,"Nhân khẩu học: 49.0 tuổi, female, nhóm 45-54, khu vực Đà Nẵng, sở thích: central"
CUS00097,67.0,female,65+,Đà Nẵng,central,"Nhân khẩu học: 67.0 tuổi, female, nhóm 65+, khu vực Đà Nẵng, sở thích: central"
CUS00098,57.0,female,55-64,Hải Phòng,northern,"Nhân khẩu học: 57.0 tuổi, female, nhóm 55-64, khu vực Hải Phòng, sở thích: northern"
CUS00099,72.0,female,65+,Hà Nội,northern,"Nhân khẩu học: 72.0 tuổi, female, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00100,28.0,male,25-34,Vũng Tàu,southern,"Nhân khẩu học: 28.0 tuổi, male, nhóm 25-34, khu vực Vũng Tàu, sở thích: southern"
CUS00101,32.0,female,25-34,Hà Nội,northern,"Nhân khẩu học: 32.0 tuổi, female, nhóm 25-34, khu vực Hà Nội, sở thích: northern"
CUS00102,72.0,female,65+,Buôn Ma Thuột,northern,"Nhân khẩu học: 72.0 tuổi, female, nhóm 65+, khu vực Buôn Ma Thuột, sở thích: northern"
CUS00103,20.0,female,18-24,Cần Thơ,southern,"Nhân khẩu học: 20.0 tuổi, female, nhóm 18-24, khu vực Cần Thơ, sở thích: southern"
CUS00104,55.0,male,55-64,Hạ Long,northern,"Nhân khẩu học: 55.0 tuổi, male, nhóm 55-64, khu vực Hạ Long, sở thích: northern"
CUS00105,62.0,male,55-64,Vũng Tàu,southern,"Nhân khẩu học: 62.0 tuổi, male, nhóm 55-64, khu vực Vũng Tàu, sở thích: southern"
CUS00106,61.0,female,55-64,TP.HCM,southern,"Nhân khẩu học: 61.0 tuổi, female, nhóm 55-64, khu vực TP.HCM, sở thích: southern"
CUS00107,73.0,female,65+,Cần Thơ,southern,"Nhân khẩu học: 73.0 tuổi, female, nhóm 65+, khu vực Cần Thơ, sở thích: southern"
CUS00108,24.0,male,18-24,Hạ Long,northern,"Nhân khẩu học: 24.0 tuổi, male, nhóm 18-24, khu vực Hạ Long, sở thích: northern"
CUS00109,19.0,male,18-24,Huế,central,"Nhân khẩu học: 19.0 tuổi, male, nhóm 18-24, khu vực Huế, sở thích: central"
CUS00110,52.0,female,45-54,Đà Lạt,southern,"Nhân khẩu học: 52.0 tuổi, female, nhóm 45-54, khu vực Đà Lạt, sở thích: southern"
CUS00111,66.0,male,65+,Hà Nội,northern,"Nhân khẩu học: 66.0 tuổi, male, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00112,42.0,male,35-44,TP.HCM,southern,"Nhân khẩu học: 42.0 tuổi, male, nhóm 35-44, khu vực TP.HCM, sở thích: southern"
CUS00113,22.0,male,18-24,Huế,central,"Nhân khẩu học: 22.0 tuổi, male, nhóm 18-24, khu vực Huế, sở thích: central"
CUS00114,39.0,female,35-44,TP.HCM,southern,"Nhân khẩu học: 39.0 tuổi, female, nhóm 35-44, khu vực TP.HCM, sở thích: southern"
CUS00115,78.0,female,65+,Vũng Tàu,southern,"Nhân khẩu học: 78.0 tuổi, female, nhóm 65+, khu vực Vũng Tàu, sở thích: southern"
CUS00116,51.0,female,45-54,Huế,central,"Nhân khẩu học: 51.0 tuổi, female, nhóm 45-54, khu vực Huế, sở thích: central"
CUS00117,62.0,male,55-64,Huế,central,"Nhân khẩu học: 62.0 tuổi, male, nhóm 55-64, khu vực Huế, sở thích: central"
CUS00118,38.0,male,35-44,Đà Lạt,southern,"Nhân khẩu học: 38.0 tuổi, male, nhóm 35-44, khu vực Đà Lạt, sở thích: southern"
CUS00119,74.0,male,65+,Hà Nội,northern,"Nhân khẩu học: 74.0 tuổi, male, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00120,62.0,male,55-64,Cần Thơ,southern,"Nhân khẩu học: 62.0 tuổi, male, nhóm 55-64, khu vực Cần Thơ, sở thích: southern"
CUS00121,69.0,male,65+,Nha Trang,northern,"Nhân khẩu học: 69.0 tuổi, male, nhóm 65+, khu vực Nha Trang, sở thích: northern"
CUS00122,27.0,male,25-34,Cần Thơ,southern,"Nhân khẩu học: 27.0 tuổi, male, nhóm 25-34, khu vực Cần Thơ, sở thích: southern"
CUS00123,57.0,female,55-64,Buôn Ma Thuột,southern,"Nhân khẩu học: 57.0 tuổi, female, nhóm 55-64, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00124,31.0,male,25-34,Huế,central,"Nhân khẩu học: 31.0 tuổi, male, nhóm 25-34, khu vực Huế, sở thích: central"
CUS00125,42.0,male,35-44,Đà Lạt,southern,"Nhân khẩu học: 42.0 tuổi, male, nhóm 35-44, khu vực Đà Lạt, sở thích: southern"
CUS00126,72.0,female,65+,Hà Nội,northern,"Nhân khẩu học: 72.0 tuổi, female, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00127,34.0,male,25-34,Huế,central,"Nhân khẩu học: 34.0 tuổi, male, nhóm 25-34, khu vực Huế, sở thích: central"
CUS00128,19.0,female,18-24,Hạ Long,northern,"Nhân khẩu học: 19.0 tuổi, female, nhóm 18-24, khu vực Hạ Long, sở thích: northern"
CUS00129,70.0,male,65+,Đà Nẵng,central,"Nhân khẩu học: 70.0 tuổi, male, nhóm 65+, khu vực Đà Nẵng, sở thích: central"
CUS00130,54.0,female,45-54,Cần Thơ,southern,"Nhân khẩu học: 54.0 tuổi, female, nhóm 45-54, khu vực Cần Thơ, sở thích: southern"
CUS00131,39.0,female,35-44,Nha Trang,southern,"Nhân khẩu học: 39.0 tuổi, female, nhóm 35-44, khu vực Nha Trang, sở thích: southern"
CUS00132,62.0,female,55-64,Đà Lạt,southern,"Nhân khẩu học: 62.0 tuổi, female, nhóm 55-64, khu vực Đà Lạt, sở thích: southern"
CUS00133,59.0,female,55-64,Vũng Tàu,southern,"Nhân khẩu học: 59.0 tuổi, female, nhóm 55-64, khu vực Vũng Tàu, sở thích: southern"
CUS00134,41.0,female,35-44,Cần Thơ,southern,"Nhân khẩu học: 41.0 tuổi, female, nhóm 35-44, khu vực Cần Thơ, sở thích: southern"
CUS00135,30.0,female,25-34,Buôn Ma Thuột,southern,"Nhân khẩu học: 30.0 tuổi, female, nhóm 25-34, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00136,70.0,male,65+,Hà Nội,northern,"Nhân khẩu học: 70.0 tuổi, male, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00137,34.0,female,25-34,Đà Lạt,southern,"Nhân khẩu học: 34.0 tuổi, female, nhóm 25-34, khu vực Đà Lạt, sở thích: southern"
CUS00138,34.0,female,25-34,Đà Nẵng,central,"Nhân khẩu học: 34.0 tuổi, female, nhóm 25-34, khu vực Đà Nẵng, sở thích: central"
CUS00139,28.0,female,25-34,Buôn Ma Thuột,all_regions,"Nhân khẩu học: 28.0 tuổi, female, nhóm 25-34, khu vực Buôn Ma Thuột, sở thích: all_regions"
CUS00140,80.0,male,65+,Đà Lạt,southern,"Nhân khẩu học: 80.0 tuổi, male, nhóm 65+, khu vực Đà Lạt, sở thích: southern"
CUS00141,51.0,male,45-54,Hạ Long,northern,"Nhân khẩu học: 51.0 tuổi, male, nhóm 45-54, khu vực Hạ Long, sở thích: northern"
CUS00142,34.0,male,25-34,Đà Lạt,southern,"Nhân khẩu học: 34.0 tuổi, male, nhóm 25-34, khu vực Đà Lạt, sở thích: southern"
CUS00143,18.0,male,18-24,Hà Nội,northern,"Nhân khẩu học: 18.0 tuổi, male, nhóm 18-24, khu vực Hà Nội, sở thích: northern"
CUS00144,28.0,male,25-34,Cần Thơ,southern,"Nhân khẩu học: 28.0 tuổi, male, nhóm 25-34, khu vực Cần Thơ, sở thích: southern"
CUS00145,31.0,female,25-34,Hạ Long,northern,"Nhân khẩu học: 31.0 tuổi, female, nhóm 25-34, khu vực Hạ Long, sở thích: northern"
CUS00146,54.0,male,45-54,Đà Nẵng,central,"Nhân khẩu học: 54.0 tuổi, male, nhóm 45-54, khu vực Đà Nẵng, sở thích: central"
CUS00147,25.0,female,25-34,TP.HCM,southern,"Nhân khẩu học: 25.0 tuổi, female, nhóm 25-34, khu vực TP.HCM, sở thích: southern"
CUS00148,36.0,male,35-44,Đà Nẵng,central,"Nhân khẩu học: 36.0 tuổi, male, nhóm 35-44, khu vực Đà Nẵng, sở thích: central"
CUS00149,65.0,male,65+,Đà Nẵng,central,"Nhân khẩu học: 65.0 tuổi, male, nhóm 65+, khu vực Đà Nẵng, sở thích: central"
CUS00150,26.0,male,25-34,Buôn Ma Thuột,southern,"Nhân khẩu học: 26.0 tuổi, male, nhóm 25-34, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00151,61.0,female,55-64,Nha Trang,central,"Nhân khẩu học: 61.0 tuổi, female, nhóm 55-64, khu vực Nha Trang, sở thích: central"
CUS00152,73.0,male,65+,Vũng Tàu,southern,"Nhân khẩu học: 73.0 tuổi, male, nhóm 65+, khu vực Vũng Tàu, sở thích: southern"
CUS00153,33.0,female,25-34,Hải Phòng,northern,"Nhân khẩu học: 33.0 tuổi, female, nhóm 25-34, khu vực Hải Phòng, sở thích: northern"
CUS00154,18.0,male,18-24,Đà Nẵng,central,"Nhân khẩu học: 18.0 tuổi, male, nhóm 18-24, khu vực Đà Nẵng, sở thích: central"
CUS00155,62.0,male,55-64,Cần Thơ,southern,"Nhân khẩu học: 62.0 tuổi, male, nhóm 55-64, khu vực Cần Thơ, sở thích: southern"
CUS00156,24.0,male,18-24,Hạ Long,northern,"Nhân khẩu học: 24.0 tuổi, male, nhóm 18-24, khu vực Hạ Long, sở thích: northern"
CUS00157,26.0,female,25-34,Buôn Ma Thuột,southern,"Nhân khẩu học: 26.0 tuổi, female, nhóm 25-34, khu vực Buôn Ma Thuột, sở thích: southern"
CUS00158,56.0,male,55-64,Hạ Long,northern,"Nhân khẩu học: 56.0 tuổi, male, nhóm 55-64, khu vực Hạ Long, sở thích: northern"
CUS00159,67.0,male,65+,Đà Nẵng,central,"Nhân khẩu học: 67.0 tuổi, male, nhóm 65+, khu vực Đà Nẵng, sở thích: central"
CUS00160,52.0,female,45-54,Hạ Long,northern,"Nhân khẩu học: 52.0 tuổi, female, nhóm 45-54, khu vực Hạ Long, sở thích: northern"
CUS00161,78.0,female,65+,Hà Nội,northern,"Nhân khẩu học: 78.0 tuổi, female, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00162,38.0,male,35-44,Nha Trang,all_regions,"Nhân khẩu học: 38.0 tuổi, male, nhóm 35-44, khu vực Nha Trang, sở thích: all_regions"
CUS00163,47.0,male,45-54,Nha Trang,central,"Nhân khẩu học: 47.0 tuổi, male, nhóm 45-54, khu vực Nha Trang, sở thích: central"
CUS00164,72.0,female,65+,Vũng Tàu,southern,"Nhân khẩu học: 72.0 tuổi, female, nhóm 65+, khu vực Vũng Tàu, sở thích: southern"
CUS00165,74.0,male,65+,Cần Thơ,southern,"Nhân khẩu học: 74.0 tuổi, male, nhóm 65+, khu vực Cần Thơ, sở thích: southern"
CUS00166,70.0,male,65+,Hà Nội,northern,"Nhân khẩu học: 70.0 tuổi, male, nhóm 65+, khu vực Hà Nội, sở thích: northern"
CUS00167,54.0,female,45-54,Hạ Long,northern,"Nhân khẩu học: 54.0 tuổi, female, nhóm 45-54, khu vực Hạ Long, sở thích: northern"
CUS00168,26.0,female,25-34,Hà Nội,northern,"Nhân khẩu học: 26.0 tuổi, female, nhóm 25-34, khu vực Hà Nội, sở thích: northern"
CUS00169,24.0,male,18-24,Đà Nẵng,central,"Nhân khẩu học: 24.0 tuổi, male, nhóm 18-24, khu vực Đà Nẵng, sở thích: central"
CUS00170,46.0,male,45-54,Huế,central,"Nhân khẩu học: 46.0 tuổi, male, nhóm 45-54, khu vực Huế, sở thích: central"
CUS00171,60.0,female,55-64,Đà Nẵng,central,"Nhân khẩu học: 60.0 tuổi, female, nhóm 55-64, khu vực Đà Nẵng, sở thích: central"
CUS00172,70.0,male,65+,Cần Thơ,southern,"Nhân khẩu học: 70.0 tuổi, male, nhóm 65+, khu vực Cần Thơ, sở thích: southern"
CUS00173,36.0,male,35-44,TP.HCM,southern,"Nhân khẩu học: 36.0 tuổi, male, nhóm 35-44, khu vực TP.HCM, sở thích: southern"
CUS00174,47.0,male,45-54,Cần Thơ,southern,"Nhân khẩu học: 47.0 tuổi, male, nhóm 45-54, khu vực Cần Thơ, sở thích: southern"
CUS00175,53.0,female,45-54,Đà Lạt,southern,"Nhân khẩu học: 53.0 tuổi, female, nhóm 45-54, khu vực Đà Lạt, sở thích: southern"
